Series ID,Month,Value
CUUR0300SA0,"Annual 1, 2021",261.259
CUUR0300SA0,1-Dec-21,269.263
CUUR0300SA0,1-Nov-21,268.36
CUUR0300SA0,1-Oct-21,267.16
CUUR0300SA0,1-Sep-21,264.593
CUUR0300SA0,1-Aug-21,263.728
CUUR0300SA0,1-Jul-21,263.013
CUUR0300SA0,1-Jun-21,261.668
CUUR0300SA0,1-May-21,259.343
CUUR0300SA0,1-Apr-21,257.207
CUUR0300SA0,1-Mar-21,255.319
CUUR0300SA0,1-Feb-21,253.386
CUUR0300SA0,1-Jan-21,252.067
CUUR0300SA0,"Annual 1, 2020",248.639
CUUR0300SA0,1-Dec-20,250.693
CUUR0300SA0,1-Nov-20,250.255
CUUR0300SA0,1-Oct-20,250.542
CUUR0300SA0,1-Sep-20,250.193
CUUR0300SA0,1-Aug-20,249.639
CUUR0300SA0,1-Jul-20,248.619
CUUR0300SA0,1-Jun-20,247.223
CUUR0300SA0,1-May-20,245.696
CUUR0300SA0,1-Apr-20,246.254
CUUR0300SA0,1-Mar-20,248.136
CUUR0300SA0,1-Feb-20,248.412
CUUR0300SA0,1-Jan-20,248.005
CUUR0300SA0,"Annual 1, 2019",246.265
CUUR0300SA0,1-Dec-19,247.289
CUUR0300SA0,1-Nov-19,247.385
CUUR0300SA0,1-Oct-19,247.423
CUUR0300SA0,1-Sep-19,246.891
CUUR0300SA0,1-Aug-19,246.953
CUUR0300SA0,1-Jul-19,247.25
CUUR0300SA0,1-Jun-19,246.515
CUUR0300SA0,1-May-19,246.667
CUUR0300SA0,1-Apr-19,246.847
CUUR0300SA0,1-Mar-19,245.554
CUUR0300SA0,1-Feb-19,243.856
CUUR0300SA0,1-Jan-19,242.547
CUUR0300SA0,"Annual 1, 2018",242.737
CUUR0300SA0,1-Dec-18,242.15
CUUR0300SA0,1-Nov-18,243.484
CUUR0300SA0,1-Oct-18,244.163
CUUR0300SA0,1-Sep-18,243.64
CUUR0300SA0,1-Aug-18,243.605
CUUR0300SA0,1-Jul-18,243.776
CUUR0300SA0,1-Jun-18,243.77
CUUR0300SA0,1-May-18,243.279
CUUR0300SA0,1-Apr-18,242.486
CUUR0300SA0,1-Mar-18,241.595
CUUR0300SA0,1-Feb-18,241.123
CUUR0300SA0,1-Jan-18,239.772
CUUR0300SA0,"Annual 1, 2017",237.456
CUUR0300SA0,1-Dec-17,238.512
CUUR0300SA0,1-Nov-17,238.861
CUUR0300SA0,1-Oct-17,239.067
CUUR0300SA0,1-Sep-17,239.649
CUUR0300SA0,1-Aug-17,237.892
CUUR0300SA0,1-Jul-17,236.942
CUUR0300SA0,1-Jun-17,237.346
CUUR0300SA0,1-May-17,236.774
CUUR0300SA0,1-Apr-17,236.728
CUUR0300SA0,1-Mar-17,236.154
CUUR0300SA0,1-Feb-17,236.052
CUUR0300SA0,1-Jan-17,235.492
CUUR0400SA0,"Annual 1, 2021",287.494
CUUR0400SA0,1-Dec-21,296.102
CUUR0400SA0,1-Nov-21,294.986
CUUR0400SA0,1-Oct-21,293.397
CUUR0400SA0,1-Sep-21,291.053
CUUR0400SA0,1-Aug-21,290.393
CUUR0400SA0,1-Jul-21,289.863
CUUR0400SA0,1-Jun-21,288.263
CUUR0400SA0,1-May-21,285.793
CUUR0400SA0,1-Apr-21,283.507
CUUR0400SA0,1-Mar-21,280.625
CUUR0400SA0,1-Feb-21,278.702
CUUR0400SA0,1-Jan-21,277.238
CUUR0400SA0,"Annual 1, 2020",275.057
CUUR0400SA0,1-Dec-20,276.593
CUUR0400SA0,1-Nov-20,276.875
CUUR0400SA0,1-Oct-20,276.876
CUUR0400SA0,1-Sep-20,276.422
CUUR0400SA0,1-Aug-20,276.443
CUUR0400SA0,1-Jul-20,275.597
CUUR0400SA0,1-Jun-20,274.155
CUUR0400SA0,1-May-20,273.062
CUUR0400SA0,1-Apr-20,272.913
CUUR0400SA0,1-Mar-20,273.995
CUUR0400SA0,1-Feb-20,274.412
CUUR0400SA0,1-Jan-20,273.34
CUUR0400SA0,"Annual 1, 2019",270.35
CUUR0400SA0,1-Dec-19,272.584
CUUR0400SA0,1-Nov-19,273.128
CUUR0400SA0,1-Oct-19,273.524
CUUR0400SA0,1-Sep-19,272.102
CUUR0400SA0,1-Aug-19,271.264
CUUR0400SA0,1-Jul-19,271.029
CUUR0400SA0,1-Jun-19,270.957
CUUR0400SA0,1-May-19,270.88
CUUR0400SA0,1-Apr-19,269.522
CUUR0400SA0,1-Mar-19,267.37
CUUR0400SA0,1-Feb-19,266.215
CUUR0400SA0,1-Jan-19,265.624
CUUR0400SA0,"Annual 1, 2018",263.263
CUUR0400SA0,1-Dec-18,265.209
CUUR0400SA0,1-Nov-18,265.658
CUUR0400SA0,1-Oct-18,266.195
CUUR0400SA0,1-Sep-18,265.105
CUUR0400SA0,1-Aug-18,264.395
CUUR0400SA0,1-Jul-18,263.971
CUUR0400SA0,1-Jun-18,263.732
CUUR0400SA0,1-May-18,263.24
CUUR0400SA0,1-Apr-18,262.037
CUUR0400SA0,1-Mar-18,260.994
CUUR0400SA0,1-Feb-18,259.986
CUUR0400SA0,1-Jan-18,258.638
CUUR0400SA0,"Annual 1, 2017",254.738
CUUR0400SA0,1-Dec-17,257.347
CUUR0400SA0,1-Nov-17,257.126
CUUR0400SA0,1-Oct-17,257.223
CUUR0400SA0,1-Sep-17,256.504
CUUR0400SA0,1-Aug-17,255.282
CUUR0400SA0,1-Jul-17,254.708
CUUR0400SA0,1-Jun-17,254.469
CUUR0400SA0,1-May-17,254.38
CUUR0400SA0,1-Apr-17,253.806
CUUR0400SA0,1-Mar-17,252.949
CUUR0400SA0,1-Feb-17,252.252
CUUR0400SA0,1-Jan-17,250.814
CUUR0100SA0,"Annual 1, 2021",283.557
CUUR0100SA0,1-Dec-21,290.405
CUUR0100SA0,1-Nov-21,289.835
CUUR0100SA0,1-Oct-21,288.236
CUUR0100SA0,1-Sep-21,286.423
CUUR0100SA0,1-Aug-21,285.63
CUUR0100SA0,1-Jul-21,285.22
CUUR0100SA0,1-Jun-21,284.741
CUUR0100SA0,1-May-21,281.858
CUUR0100SA0,1-Apr-21,280.234
CUUR0100SA0,1-Mar-21,278.197
CUUR0100SA0,1-Feb-21,276.473
CUUR0100SA0,1-Jan-21,275.427
CUUR0100SA0,"Annual 1, 2020",272.908
CUUR0100SA0,1-Dec-20,274.225
CUUR0100SA0,1-Nov-20,273.543
CUUR0100SA0,1-Oct-20,273.374
